,name,stretch,shift
0,SDSS_z=44-476mpc,0.7511411615899543,-0.0756302521008404
1,LRG_NGC_z=0-1000mpc,0.8107043034395637,-0.12605042016806722
2,LRG_NGC_z=900-1600mpc,0.7511411615899543,-0.1428571428571429
3,LRG_SGC_z=0-1000mpc,0.8055652716794949,-0.12605042016806722
4,LRG_SGC_z=900-1600mpc,0.7803546451399958,-0.17647058823529416
0,LRG_NGC_z=1500-2100mpc,0.7138839480404517,-0.2268907563025211
1,LRG_NGC_z=2000-3000mpc,0.6959541749574131,-0.26050420168067234
2,LRG_SGC_z=1500-2100mpc,0.7322756434373108,-0.2100840336134454
3,LRG_SGC_z=2000-3000mpc,0.6614342809042485,-0.19327731092436973
